Star Name,Description,Location,History
Dorado,Swordfish,"The constellation Dorado, the dolphinfish, is located in the southern hemisphere of the sky. It is visible from all latitudes south of 20 degrees north from November through January. It is a small constellation covering an area of 179 square degrees. It ranks 72nd in size among the 88 constellations in the night sky. It is bordered by the constellations Caelum, Horologium, Hydrus, Mensa, Pictor, Reticulum, and Volans.","There is no mythology associated with Dorado. It is one of 12 constellations named by the Dutch astronomer Petrus Plancius based on observations by Dutch navigators. The name means “the dolphinfish” in Latin. It first appeared on a celestial globe published by Plancius in 1597. It was later included in Johann Bayer’s star atlas in 1603. The constellation is usually represented as a dolphinfish such as the Mahi-mahi. It is not in any way related to the marine mammal known as the dolphin. This constellation has also been represented as a goldfish and a swordfish, but the dolphinfish is the correct representation based on the name Dorado."
Draco,Dragon,"The constellation Draco, the dragon, is a northern circumpolar constellation that is visible at latitudes between 90 degrees and -15 degrees. It is a large constellation covering 1,083 square degrees of the sky. This makes it the eighth largest constellation in the night sky. It is bordered by the constellations Boötes, Camelopardalis, Cepheus, Cygnus, Hercules, Lyra, Ursa Major, and Ursa Minor. Draco held special significance in the past. About 4,000 years ago, it was the location of the northern pole star, as Ursa Minor is today. Due to the Earth's wobble, or precession, the pole has now shifted to the star Polaris. Draco is also the origin point for the annual Draconids meteor shower.","Draco is one of the 48 constellations cataloged by the Greek astronomer Ptolemy in the second century. Its name means “the dragon” in Latin. It was the guardian of the star that never moves, the celestial pole. In ancient times, the pole star was believed to be the doorway between the mortal world and eternity. In Greek mythology, the dragon was Laden, a monstrous beast with a hundred heads chosen by Hera to guard the golden apples of immortality. These apples grew in the garden Hesperides, beyond the River of Time in the land of death. Laden was slain by Hercules in the eleventh of his twelve labors. Draco is located very close to the celestial pole, which makes it circumpolar. This means is it visible throughout the night in the northern hemisphere. During the course of the year, it rotates upside down and back again."
Equuleus,Little Horse,"The constellation Equuleus, the little horse, is visible in mid-September rising just before Pegasus. It can be seen throughout most of the northern and southern hemisphere at latitudes between 90 degrees and -80 degrees. It is an extremely small constellation. With an area of only 72 square degrees, it is the second smallest constellation in the night sky. It is bordered by Aquarius, Delphinus and Pegasus.","Equuleus is one of the 48 constellations cataloged by the Greek astronomer Ptolemy in the second century. The name Equuleus is Latin for “little horse.” It is a very old constellation that has its roots in many cultures. In ancient China, the stars were part of a constellation known as the Black Tortoise of the North. In Greek mythology, it represents Cerleris, the brother of Pegasus, who was given to Castor by Mercury. In another myth it was Cyllarus, which was given to Pollux by Juno. Because the stars in Equuleus rise before Pegasus, it is sometimes called Equus Primus, or the First Horse."
Eridanus,River,"The constellation Eridanus, the river, is located in the southern hemisphere of the sky. It is visible from latitudes south of 32 degrees from October through December. It is represented as a long, winding river that starts at the left foot of Orion in the north, sweeps south of Taurus, west to the edge of Cetus, and back east to Caelum. It eventually ends to the south, at the border with Hydrus. It is one of the 48 constellations described by Ptolemy in the second century. Eridanus is the sixth largest constellation, covering an area of 1,138 square degrees. It is also the second longest constellation in the night sky.","Eridanus is one of the 48 constellations first identified by the Greek astronomer Ptolemy in the second century. It is associated with the story of Phaethon in Greek mythology. Phaethon was the son of the Sun god Helios and the Oceanid Clymene. Phaethon wanted to drive his father’s sky chariot, but was unable to control it. The chariot veered off course and scorched the heavens and the Earth. Zeus intervened and killed Phaethon with a thunderbolt. Eridanus was supposed to represent the wild path where Phaethon drove his father’s chariot. This constellation has also been associated with the Nile River in Egypt and the Po River in Italy. Eridanus is commonly depicted as a river flowing from the waters poured by Aquarius."
Fornax,Furnace,"The constellation Fornax, the laboratory furnace, is located in the southern hemisphere of the sky. It can be seen in latitudes south of 50 degrees north from October through December. Fornax is a mid-sized constellation with a total area of 398 square degrees. At this size, it is the 41st largest constellation in the night sky. It is bordered by the constellations Cetus, Eridanus, Phoenix, and Sculptor.","Fornax is not associated with any mythology. The name means “furnace” in Latin. It is one of 14 constellations named by the French astronomer Nicolas Louis de Lacaille in 1756 after his trip to the Cape of Good Hope to study the southern night sky. Lacaille named this constellation in honor of his good friend Antoine Lavoisier, a French scientist and the father of modern chemistry. Lavoisier was later branded a traitor and guillotined during the French Revolution in 1794. Lacaille originally named the constellation Fornax Chemica, the chemical furnace, after the small solid fuel vessel used for heating chemical experiments. The name was later shortened to Fornax by the English astronomer Francis Bailey in 1845."
Gemini,Twins,"The constellation Gemini, the twins, is visible in the northern hemisphere from November through April. It can be seen at latitudes between 90 degrees and -60 degrees. It is a medium-sized constellation that fills an area of 514 square degrees. It ranks 30th in size among the 88 constellations in the night sky. It is bordered by Taurus to the west and Cancer to the east, with Auriga and Lynx to the north and Monoceros and Canis Minor to the south. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year.","Gemini is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. Its name means “the twins” in Latin. It represents the twins Castor and Pollux, two Greek heroes who were among the men Jason led on his voyages on the Argo. According to myth, they were actually half-brothers and not really twins. They shared the same mother, Leda, but had different fathers. Castor's father was a king of Sparta called Tyndareus, while the father of Pollux was Zeus himself. In Babylonian times, the stars Castor and Pollux were known as the Great twins. They were named Meshlamtaea and Lugalirra, which meant “The One who has arisen from the Underworld” and the “Mighty King”."
Grus,Crane,"The constellation Grus, the crane, is located in the southern hemisphere of the sky. It is visible at latitudes south of 33 degrees north from July through September. It is a relatively small constellation, covering an area of 366 square degrees. It ranks 45th in size among the 88 constellations in the night sky. It is one of the constellations known as the “Southern Birds”, along with Pavo, Phoenix, and Tucana. It is bordered by Piscis Austrinus to the north, Sculptor to the northeast, Phoenix to the east, Tucana to the south, Indus to the southwest, and Microscopium to the west.","There is no mythology associated with the constellation Grus. It is one of twelve constellations identified by Petrus Plancius based on observations by Dutch navigators. Its name means “the crane” in Latin. It first appeared on a celestial globe created by Plancius in 1598 and was later included in Johann Bayer’s star atlas in 1603. In the early 17th century, the constellation was briefly known as Phoenicopterus, which is Latin for “the flamingo”. The name was eventually changed back to Grus."
Hercules,Hercules,"The constellation Hercules, the strongman, is best seen during the summer in the northern hemisphere. It is visible in the southern hemisphere from May until August at latitudes between 90 degrees and -50 degrees. It is a large constellation filling 1,225 square degrees of the sky. It the fifth largest constellation in the sky, but can be difficult to locate because of its dim stars. It can be found by looking between Draco and Ophiuchus. The constellation is bordered by Draco to the north; Boötes, Corona Borealis, and Serpens Caput to the east; Ophiuchus to the south; Aquila to the southwest; and Sagitta, Vulpecula, and Lyra to the west. Hercules contains a famous grouping of stars known as an asterism. Four stars form a square shape known as the Keystone. The Keystone represents the hero’s torso in the constellation.","Hercules is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. It is a very old constellation that was celebrated by a number of ancient cultures. The Sumerians associated the constellation with the hero Gilgamesh. In Greek mythology, it was named after the famous son of Zeus, who defeated the Nemean Lion, Leo, and the many-headed beast called Hydra. While fighting Hydra, Hercules also killed the little crab, Cancer. The Greeks called him Heracles, but the Romans changed his name to Hercules. He is usually depicted as kneeling with his right hand raised above his head holding a club."
Horologium,Clock,"The constellation Horologium, the clock, is located in the southern hemisphere of the sky. It is visible from latitudes south of 23 degrees from October through December. It is a small constellation with a total area of only 249 square degrees. It ranks 58th in size among the 88 constellations in the night sky. It is bordered by the constellations Eridanus, Hydrus, Reticulum, Dorado and Caelum.","Horologium is not associated with any ancient mythology. It was named by the French astronomer Nicolas Louis de Lacaille in 1752 after his trip to the Cape of Good Hope to study the southern night sky. Lacaille named this constellation to honor Christian Huygens, the inventor of the pendulum clock in 1656-57. It was originally called Horologium Oscillitorium, “the pendulum clock” but was later shortened to Horologium, “the clock.”"
Hydra,Female Water Snake,"The constellation Hydra, the sea serpent, is best seen from the southern hemisphere, but can be observed in the north between January and May. It is visible at latitudes between 54 degrees and -83 degrees. It is the largest constellation in the night sky, covering an area of 1,303 square degrees. It is also one of the longest constellations with a length of over 100 degrees. Its southern end borders Libra and Centaurus and its northern end borders Cancer.","Hydra is one of the 48 constellations first listed by the Greek astronomer Ptolemy in the second century. It is an ancient constellation with roots in many cultures. In Hindu mythology, it represented Ashlesha, one of the Nakshatras of Hindu astrology. The Chinese saw it as the Vermilion Bird and the Azure Dragon. In Greek mythology, it represents the water snake brought to the god Apollo by the crow, Corvus, as an excuse for being late from his errand to fetch water. It may also represent the hydra from the myth of Hercules and his twelve labors. The Hydra was a giant beast with the body of a dog and many snake-like heads. It was slain by Hercules on the second of his twelve labors for the king of Mycenae. As each head was cut off, two more would grow in its place. Hercules burned the roots of the heads to prevent them from growing back. This constellation was once much larger, but was later split into Sextans, Crater, Corvus, and a slightly smaller Hydra."
Hydrus,Male Water Snake,"The constellation Hydrus, the southern water snake, is located in the southern hemisphere of the sky. It can be seen at latitudes south of 8 degrees from September through November. Hydrus is a small constellation, with a total area of only 243 square degrees in the night sky. This makes it the 61st constellation is size among the 88 constellations in the night sky. It is bordered by Mensa to the southeast, Eridanus to the east, Horologium and Reticulum to the northeast, Phoenix to the north, Tucana to the northwest and west, and Octans to the south. This constellation remains below the horizon for most observers in the Northern Hemisphere.","There is no mythology associated with Hydrus. The constellation is located so far south that it was not visible to the ancient Greeks or Romans. It was mapped by Dutch navigators and represents the sea snakes they would have encountered on their voyages. It first appeared on a celestial globe published by Dutch astronomer Petrus Plancius in 1597 and was one of twelve constellations included in Johann Bayer’s star atlas in 1603. It is often confused with Hydra, the much larger constellation farther north."
Indus,Indian,"The constellation Indus, the Indian, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 15 degrees from July through September. It is a small constellation, filling 294 degrees of the sky. This ranks it 49th in size among the 88 constellation in the night sky. It is bordered by Grus, Microscopium, Octans, Pavo, Sagittarius, Telescopium and Tucana.","There are no myths associated with Indus. This southern constellation was one of 12 constellations created by the Dutch astronomer Petrus Plancius based on the observations of Dutch navigators in the 16th century. It was first depicted in Johann Bayer’s star atlas which was published in 1603. It was depicted as naked male figure holding arrows in both hands. It is believed to represent the indigenous people that explorers encountered during their travels to the East Indies, Madagascar, and southern Africa."
Lacerta,Lizard,"The constellation Lacerta, the lizard, is located in the northern hemisphere of the sky. It is visible between latitudes of 90 degrees and -40 degrees. It is a very small constellation, occupying only 201 square degrees of the sky. It ranks 68th in size among the 88 constellations in the night sky. It extends from the head of Cepheus to the foot of Perseus, between Cygnus and Andromeda. Lacerta’s brightest stars form a small W in the sky, similar to the constellation Cassiopeia. Because of this, it is sometimes referred to as “Little Cassiopeia.”","The name Lacerta is Latin for ""lizard"". There is no mythology associated with this constellation. It is one of seven constellations created by the Polish astronomer Johannes Hevelius in the 17th century. It was first introduced in a star atlas published by Hevelius in 1690. It was originally given the name Stellio after a type of lizard known as a stellion, but the name was later changed to Lacerta."
Leo,Lion,"The constellation Leo, the lion, can be seen in the northern hemisphere in the spring. It is visible at latitudes between 90 degrees and -65 degrees. It is a large constellation covering an area of 947 square degrees. This makes it the 12th largest constellation in the night sky. It is bordered by the constellations Cancer, Coma Berenices, Crater, Hydra, Leo Minor, Lynx, Sextans, Ursa Major and Virgo. Leo is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year. It is easily recognizable in the night sky due to its many bright stars and distinctive shape.","Leo is one of the 48 constellation first identified by the Greek astronomer Ptolemy in the second century. Its name means “lion” in Latin. It is one of the oldest constellations in the sky. The ancient Mesopotamians may have had a constellation similar to Leo as early as 4,000 BC. The Persians called it Shir, and the Babylonians knew it as the Great Lion. The ancient Egyptians worshiped Leo as the place where the Sun rose after creation. It appearance in the night sky coincided with the summer solstice and the flooding of the Nile river. In Greek mythology, it was named after the Nemean lion, which was killed by Hercules on the first of his twelve labors for the king of Mycenae. According to legend, the lion had a hide that could not be pierced by iron, bronze, or stone. Hercules strangled the great beast after unsuccessfully trying to reason with it."
Leo Minor,Lesser Lion,"The constellation Leo Minor, the lion cub, is completely visible at latitudes north of -48 degrees from January through March. It is a small constellation occupying only 232 square degrees of the sky. It ranks 64th in size among the 88 constellations in the night sky. It lies between the larger and more recognizable Ursa Major to the north and Leo to the south.","There are no myths associated with Leo Minor. It is a relatively new constellation created from a dark region of the sky. Ancient astronomers considered the region to be undefined with no distinct patterns. The stars in this area were originally considered to be part of the constellation Leo. It was the Polish astronomer Johannes Hevelius who first depicted Leo Minor as a separate constellation in his star atlas in 1687. It was one of ten new constellations in his new star atlas, Firmamentum Sobiescianum. In 1870, the English astronomer Richard Proctor attempted to rename the constellation to Leaena, the Lioness, in an attempt to shorten the name. But the new name was not widely accepted and the name Leo Minor exists to this day. It is the only constellation with no alpha star designation. This is due to an error when the constellation was cataloged."
Lepus,Hare,"The constellation Lepus, the hare, is located in the southern hemisphere of the sky. It can be seen in the northern hemisphere in winter. It is visible at latitudes between 63 degrees and -90 degrees. Lepus is a small constellation occupying an area of 290 square degrees. It ranks 51st in size among the 88 constellations in the night sky. It is bordered by the constellations Caelum, Canis Major, Columba, Eridanus, Monoceros and Orion.","Lepus is one of the 48 constellations identified by the Greek astronomer Ptolemy in the second century. Is name means “the hare” in Latin. It is represented as a rabbit that is being hunted by Orion and his two hunting dogs, Canis Major and Canis Minor. The mythology behind Lepus is uncertain. It is, however, an ancient constellation known at least since the time of the Greeks. Lepus is sometimes confused with the constellation Lupus, the wolf."
Libra,Scales,"The constellation Libra, the scales, is visible at latitudes between 65 degrees and -90 degrees. It is a medium-sized constellation occupying an area of 538 square degrees. It ranks 29th in size among the 88 constellations in the night sky. It is bordered by the head of Serpens to the north, Virgo to the northwest, Hydra to the southwest, the corner of Centaurus to the southwest, Lupus to the south, Scorpius to the east and Ophiuchus to the northeast. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year. It is the only constellation of the zodiac that represents an object instead of an animal or a person from mythology.","Libra is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. Its name means “the weighing scales” in Latin. It is usually depicted as the scales held by the Greek goddess of justice Astrea, which is represented by the neighboring constellation Virgo. Virgo is an ancient constellation with its roots in many early cultures. The ancient Babylonians saw it as the Balance of Heaven. In ancient Greece, it represented the claws of the scorpion, and was considered to be part of the constellation Scorpius. In ancient Egypt the three brightest stars formed a constellation that was viewed as a boat. To the early Romans, it was the golden chariot of Pluto, god of the Underworld. It eventually came to be associated with the scales. Today it is seen as a universal symbol of balance, harmony, and justice."
Lupus,Wolf,"The constellation Lupus, the wolf, is located in the southern hemisphere of the sky. It is best seen in the northern hemisphere in June and is completely visible at latitudes between 35 degrees and -90 degrees. Lupus is a mid-sized constellation filling 334 square degrees of the sky. It ranks 46th in size among the 88 constellations of the night sky. It is bordered by the constellations Hydra, Scorpius, Norma, Circinus, Libra, and Centaurus. It is sometimes confused with the constellation Lepus, the rabbit.","Lupus is one of the 48 constellations first identified by the Greek astronomer Ptolemy in the second century. Its name means “the wolf” in Latin. Even though it is one of the older constellations, it is not associated with any mythology. The stars that make up this constellation were originally part of the constellation Centaurus. They represented an animal that had been killed by the centaur. The stars of Lupus was separated from Centaurus by the Greek astronomer Hipparchus in the third century BC. No particular animal was associated with it at the time. The ancient Greeks knew it as Therium, a wild animal. The Romans called it Bestia, the beast. A later Latin translation of Ptolemy’s work finally identified it as a wolf."
Lynx,Lynx,"The constellation Lynx, the lynx, can be seen in the northern hemisphere in February. It is visible at latitudes between 90 degrees and -55 degrees. It is a medium-sized constellation that covers an area of 545 square degrees. It ranks 28th in size among the 88 constellations in the night sky. It is bordered by Camelopardalis to the north, Auriga to the west, Gemini to the southwest, Cancer to the south, Leo to the east and Ursa Major to the northeast.","Lynx was created by the Polish astronomer Johannes Hevelius in the 17th century to fill a large gap between the constellations Auriga and Ursa Major. It was named Lynx because the stars were so dim one would have to have the eyes of a lynx to see them. Lynx appears as a dim, bumpy line running just north of Leo and Cancer. It is not known if Hevelius intended to associate any mythology with the constellation, but there is one story that could be linked to the name. A sailor named Lynceus, who sailed with Jason and the Argonauts, was said to have extremely keen eyesight. It was even said he could see things underground. He was part of the expedition to recover the legendary Golden Fleece."
Lyra,Lyre,"The constellation Lyra, the lyre, is best seen from June through October in the northern hemisphere. It is visible between latitudes 90 degrees and -40 degrees. It is a small constellation, covering an area of 286 degrees of the sky. It ranks 52nd in size among the 88 constellations in the night sky. It is bordered by Vulpecula to the south, Hercules to the east, Draco to the north, and Cygnus to the west. Vega, the brightest star in Lyra, forms a large triangle with two other stars, Altair in Aquila and Deneb in Cygnus. This prominent formation of bright stars is known as the Summer Triangle. Lyra is also the origin point for the annual Lyrids meteor shower which occurs every year in April.","Lyra is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. It represents the lyre, a musical instrument with strings that resembles a harp. It is associated with the myth of the Greek musician Orpheus. The lyre was invented by Hermes as a gift to his half-brother Apollo, who gave it to Orpheus, the musician of the Argonauts. Orpheus was so gifted with his music that even inanimate objects such as trees, streams, and rocks could be charmed. After his death, his lyre was thrown into a river. Zeus sent an eagle to retrieve it and both Orpheus and the Lyre were placed in the heavens as constellations."
Mensa,Table Mountain,"The constellation Mensa, the table mountain, is located in the southern hemisphere of the sky. It is the second southernmost constellation and cannot be seen in most of the northern hemisphere. It is visible at latitudes south of 5 degrees from May through July. It can best be seen in northern latitudes in January. It is a small constellation that covers an area of only 153 square degrees. It ranks 75th in size among the 88 constellations in the night sky. It is bordered by Dorado to the north, Hydrus to the northwest and west, Octans to the south, Chamaeleon to the east, and Volans to the northeast.","There are no myths associated with Mensa. It is one of 14 southern constellations named by the French astronomer Abbé Nicolas Louis de Lacaille in the 18th century. The name means “the table” in Latin. Lacaille named it to commemorate the table mountain near his observatory in Cape Town, South Africa. Lacaille originally named the constellation Montagne de la Table on his planisphere in 1756. He later Latinized it to Mons Mensae for the second edition in 1763. The name was later shortened to Mensa by British astronomer Francis Baily at the suggestion of John Herschel. The constellation is depicted as a mountain with a flattened top."
Microscopium,Microscope,"The constellation Microscopium, the microscope, is located in the southern hemisphere of the sky. It is visible at latitudes south of 45 degrees between July and September. It is a small constellation, occupying only 210 square degrees of the sky. This ranks it 66th in size among the 88 constellations in the night sky. It is bordered by Capricornus to the north, Piscis Austrinus and Grus to the west, Sagittarius to the east, and Indus to the south, touching on Telescopium to the southeast.",There is no mythology associated with Microscopium. It was named by Abbé Nicolas Louis de Lacaille to honor the invention of the microscope. It is one of several constellations named by Lacaille for scientific instruments after his trip to the Cape of Good Hope to study the southern night sky. It was named after an early type of compound microscope that was used in the 18th century. Lacaille described the constellation as “a tube above a square box.”
Monoceros,Unicorn,"The constellation Monoceros, the unicorn, is visible in the northern hemisphere in winter. It is visible at latitudes between 75 degrees and -90 degrees. It is a medium-sized constellation covering an area of 482 square degrees. It ranks 35th in size among the 88 constellations in the night sky. It is bordered by Orion to the west, Gemini to the north, Canis Major to the south and Hydra to the east.","There are no myths associated with Monoceros. It is one of 12 constellations named by the Dutch astronomer Petrus Plancius based on observations by Dutch navigators. Plancius included it on a celestial globe in 1612. He originally called it Monoceros Unicornis. It was created to fill a large gap between the constellations Orion and Hydra. The German astronomer Jakob Bartsch named it Unicornu in his star chart published in 1624. It represents a classic unicorn, a horse with a single horn protruding from its forehead. The faint stars of Monoceros make its shape difficult to discern. It is often overlooked since it is surrounded on all sides by the much brighter constellations Orion, Canis Major, Canis Minor, and Gemini."
Musca,Fly,"The constellation Musca, the fly, is located in the southern hemisphere of the sky. It is completely visible in latitudes south of 15 degrees between February and April. It is a small constellation covering an area of only 138 square degrees. This ranks it 77th in size among the 88 constellations in the night sky. It is bordered by Crux to the north, Carina to the west, Chamaeleon to the south, Apus and Circinus to the east and Centaurus to the northeast. It can be found just south of the Southern Cross.","There are no myths associated with Musca. It is one of 12 constellations created by the Dutch astronomer Petrus Plancius based on observations from Dutch navigators. It was named for its shape, which resembles that of a housefly. Musca was first depicted in Johann Bayer’s star atlas in 1603. It was originally called De Vlieghe, which is Dutch for “the fly.” It has since had many names. Johann Bayer listed it as Apis, the Bee in his star catalog. French astronomer Nicolas Louis de Lacaille called it la Mouche. It was later changed to Musca Australis, the Southern Fly, and was eventually shortened to Musca as we know it today."
Norma,Carpenter's Square,"The constellation Norma, the carpenter's square, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 30 degrees from April through June. It is a small constellation, occupying only 165 square degrees of the sky. This ranks it 74th in size among the 88 constellations in the night sky. It is bordered by Scorpius to the north, Lupus to the northwest, Circinus to the west, Triangulum Australe to the south and Ara to the east.","There are no myths associated with the constellation Norma. It is one of the 14 southern constellations named by Abbé Nicolas Louis de Lacaille in the 18th century. It represents a carpenter's tool called a square, or a level. Lacaille originally called it l’Equerre et la Regle, which meant ""the Square and the Rule"". The name was later Latinized to Norma et Regula and eventually shortened to Norma. The constellation has also been reduced in size since its discovery. The stars that were originally Alpha and Beta now belong to the constellation Scorpius."
Octans,Octant,"The constellation Octans, the octant, is located in the southern hemisphere of the sky. It is only visible at latitudes south of the equator. It is circumpolar which means it is visible all night long. It is a small constellation with a total area of only 291 square degrees. This ranks it 50th in size among the 88 constellations in the night sky. Octans is bordered by the constellations Apus, Chamaeleon, Hydrus, Indus, Mensa, Pavo and Tucana. It also contains the South Celestial Pole.","There is no mythology associated with the constellation Octans. It is one of 14 constellations named by the French astronomer Nicolas Louis de Lacaille in 1752 after his trip to the Cape of Good Hope to study the southern night sky. It is named after the octant, a navigational tool that was the precursor to the modern day sextant. Octans was originally named de Reflexion"", which was French for “the reflecting octant”. It eventually became known as Octans Hadleianus after John Gadkey, the English mathematician who invented the octant in 1730."
Ophiuchus,Serpent Bearer,"The constellation Ophiuchus, the snake bearer, is best seen in summer in the northern hemisphere and winter in the southern hemisphere. It is completely visible at latitudes between 80 degrees and -80 degrees. It is a large constellation covering 948 square degrees of the sky. This makes it the 11th largest constellation in the night sky. It is located between Aquila, Serpens and Hercules, northwest of the center of the Milky Way. The southern part lies between Scorpius to the west and Sagittarius to the east. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year. When the Babylonians invented the Zodiac about 300 years ago, it only contained 12 constellations. Because of the procession of the Earth's axis, the Sun now passes through Ophiuchus each year in December, making it a new member of the Zodiac by definition.","Ophiuchus is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. It is an ancient constellation that has been known by many ancient cultures. The Babylonians knew it as the serpent-god Nirah. The ancient Greeks identified it as the god Apollo struggling with the giant snake that guarded the Oracle of Delphi. It is frequently associated with the Greek figure Asclepius, son of the god Apollo, who was said to be able to bring people back from the dead. Serpents were always associated with physicians, and this has given rise to the modern symbol for medicine. Ophiuchus is commonly depicted as a man holding a snake, represented by the nearby constellation Serpens."
Orion,Hunter,"The constellation Orion, the great hunter, is visible from October through March in both hemispheres. It can be seen at latitudes between 85 degrees and -75 degrees. It is a large constellation filling an area 594 square degrees. It ranks 26th in size among the 88 constellations in the night sky. It is bordered by Taurus to the northwest, Eridanus to the southwest, Lepus to the south, Monoceros to the east, and Gemini to the northeast. It is without a doubt one of the brightest and most beautiful constellations in the winter sky. Its bright stars form an hourglass shape that can be seen even in urban areas with moderate amounts of light pollution. It contains an asterism of three stars in a straight line known as Orion’s Belt. This is one of the most recognizable groupings of stars in the night sky.","Orion is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. It was named after the hero of Greek mythology who was killed by Scorpius, the scorpion. It is one of the oldest constellations with roots in many ancient cultures. It has been depicted on ivory carvings that are believed to have been fashioned over 32,000 years ago. The ancient Babylonians saw it as the Heavenly Shepherd. To the Egyptians, it represented a god called Sah. In Greek mythology, the stars represent the great hunter Orion. He was the son of the sea god Poseidon and Euryale, the daughter of King Minos of Crete. Orion boasted that he would kill every animal on Earth. This angered the goddess Gaia so she sent a scorpion to kill him. The gods felt sorry for Orion, so they put him and his dogs in the sky as constellations, along with all of the animals he hunted. Scorpius, the scorpion, was placed on the opposite side of the sky so that Orion would never be hurt by it again. To this day, Orion is never seen in the sky at the same time as Scorpius."
Pavo,Peacock,"The constellation Pavo, the peacock, is located in the southern hemisphere of the sky. It is visible at latitudes south of 30 degrees from June through August. It is a relatively small constellation, covering 378 degrees of the sky. This ranks it 44th in size among the 88 constellations in the night sky. It is bordered by Telescopium to the north, Apus and Ara to the west, Octans to the south, and Indus to the east and northeast. It is one of the constellations known as the “Southern Birds”, along with Grus, Phoenix, and Tucana.","This southern constellation was one of 12 constellations created by the Dutch astronomer Petrus Plancius based on the observations of Dutch navigators in the 16th century. It was first depicted in Johann Bayer’s star atlas which was published in 1603. The name Pavo is Latin for “peacock”. It is believed to represent the Java green peacock that was encountered by Dutch navigators on their journey to the East Indies. In Greek mythology, the peacock was Hera’s sacred bird. Her chariot was drawn through the air by peacocks. The eyes on the peacock’s feathers are associated with the mythological giant, Argus. Argus was an all-seeing primordial giant with 100 eyes. When Argus was killed by Hermes, Hera put its many eyes on the tail of her peacock."
Pegasus,Winged Horse,"The constellation Pegasus, the winged horse, is visible from August through December. It can be seen between latitudes 90 degrees and -60 degrees. It is a large constellation, occupying 1,121 square degrees of the sky. This makes it the seventh largest constellation in the night sky. It is bordered by Andromeda to the north and east, Lacerta to the north, Cygnus to the northwest, Vulpecula, Delphinus and Equuleus to the west, Aquarius to the south and Pisces to the south and east.","Pegasus is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. It represents the famous winged horse in Greek mythology. Curiously, the constellation Pegasus only represents the top half of the horse. In some depictions, the horse is shown rising out of the water. Pegasus was a white winged horse born from the blood of the gorgon Medusa after she was beheaded by Perseus. He served the god Zeus as the carrier of his lightning bolts. Zeus eventually placed the horse among the stars as a constellation."
Perseus,Hero,"The constellation Perseus, the hero, can be seen in late summer and autumn in the northern hemisphere. It is visible at latitudes between 90 degrees and -35 degrees. Perseus is a mid-sized constellation with a total area of 615 square degrees. This makes it the 24th largest constellation in the night sky. It is bordered by Aries and Taurus to the south, Auriga to the east, Camelopardalis and Cassiopeia to the north, and Andromeda and Triangulum to the west. It is also the origin point for the annual Perseid meteor shower.","Perseus was first cataloged in the second century by the Greek astronomer Ptolemy. It is named after the legendary hero who rescued Andromeda from the sea monster, Cetus. Perseus was the son of Danaë, who was the daughter of King Acrisius. His father was the god Zeus. Perseus was sent by King Polydectes to slay the evil gorgon sister Medusa, whose gaze could turn anyone who looked at her into stone. Perseus slew Medusa in her sleep and collected her head in a bag. On his way back home, he spotted the princess Andromeda chained to a rock. She was to be sacrificed to the sea monster Cetus. Perseus used the head of Medusa to turn the monster into stone. Perseus and Andromeda fell in love and were both placed among the stars."
Phoenix,Phoenix,"The constellation Phoenix, the phoenix, is located in the southern hemisphere of the sky. It is completely visible in latitudes south of 32 degrees from September through November, all though it is very low in the sky for anyone north of 40 degrees. It is a medium-sized constellation occupying an area of 469 square degrees. This makes it the 37th largest constellation in the night sky. It is bordered by Fornax and Sculptor to the north, Grus to the west, Tucana to the south, touching on the corner of Hydrus to the south, and Eridanus to the east and southeast. It is one of four constellations known as the “Southern Birds,” along with Grus, Pavo, and Tucana.","There are no mythological origins to the constellation Phoenix. It is the largest of twelve constellations listed by astronomer Petrus Plancius based on the observations of Dutch navigators. It first appeared on a celestial globe published by Plancius in 1597. It was later included in Johann Bayer’s star atlas published in 1603. The constellation represents the legendary bird that would be consumed by fire and then emerge from the flames reborn. The phoenix was believed to resemble an eagle with purple, gold, and red feathers. It would live for 500 years and then burst into flames and die in the fire. A new bird would then emerge from the ashes of the old."
